Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2022,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,55.76,34.0,67.6,43.31,72.76,57.76,21.61
2022,IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,55.65,35.0,68.98,34.76,73.36,56.15,42.38
2022,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,55.11,36.0,70.09,36.9,70.0,60.78,29.29
2022,IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,54.7,37.0,70.9,53.82,57.01,42.37,16.43
2022,IR-E-U-0055,"National Institute of Technology, Silchar",Silchar,Assam,54.63,38.0,65.49,48.0,66.79,57.58,14.56
2022,IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,54.62,39.0,73.6,32.26,64.82,74.34,24.73
2022,IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",HOWRAH,West Bengal,54.57,40.0,60.11,48.02,67.41,48.26,38.23
2022,IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,53.36,41.0,70.01,40.17,67.29,55.94,12.59
2022,IR-E-U-0356,Kalinga Institute of Industrial Technology,BHUBANESWAR,Odisha,53.06,42.0,70.27,35.74,58.52,76.97,18.58
2022,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.37,43.0,75.78,25.35,62.6,61.97,33.15
2022,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,51.93,44.0,70.08,44.8,52.73,56.18,12.99
2022,IR-E-U-0747,Chandigarh University,Mohali,Punjab,51.73,45.0,75.92,24.84,52.44,79.48,30.61
2022,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,51.69,46.0,62.59,46.35,62.2,55.14,10.53
2022,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,51.17,47.0,59.01,37.99,75.22,52.15,18.23
2022,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,50.5,48.0,63.78,37.31,63.41,52.63,22.25
2022,IR-E-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,50.2,49.0,72.06,40.88,52.12,52.48,6.54
2022,IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,50.11,50.0,57.73,43.66,63.35,55.32,14.94
2022,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,49.58,51.0,65.51,36.85,51.86,67.5,17.52
2022,IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,49.45,52.0,68.14,31.7,59.18,63.99,12.59
2022,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,49.33,53.0,66.55,34.54,56.6,50.59,26.21
2022,IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.56,54.0,64.87,37.36,46.78,63.38,21.93
2022,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,48.33,55.0,67.36,33.36,49.48,62.47,19.61
2022,IR-E-U-0844,"Indian Institute of Technology, Tirupati",YERPEDU,Andhra Pradesh,48.16,56.0,77.47,14.94,60.23,56.79,27.07
2022,IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.68,57.0,66.5,24.91,50.8,48.09,52.94
2022,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,47.61,58.0,56.53,38.64,65.08,49.87,10.53
2022,IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,47.0,59.0,65.21,18.25,69.77,73.13,7.0
2022,IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,46.67,60.0,66.65,27.9,57.7,62.99,4.63
2022,IR-E-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,46.43,61.0,65.4,27.84,48.09,62.24,26.21
2022,IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,46.41,62.0,49.16,38.57,63.99,51.02,21.93
2022,IR-E-U-0072,"National Institute of Technology, Patna",Patna,Bihar,46.24,63.0,60.96,32.77,65.77,42.7,7.0
